nid	mid	fields
1405727791075	1405599708170	<i>contrapositive proof</i>	<div>&nbsp;When the contradiction is&nbsp;</div><div>with the theorem's hypothesis, we technically have what is called a contmpositive&nbsp;</div><div>proof.&nbsp;</div>
1405727861001	1405599708170	Theorem 1.2.6: Two &nbsp;real &nbsp;numbers <i>a</i> &nbsp;and <i>b</i> are &nbsp;equal &nbsp;if and only if for &nbsp;every real number&nbsp;[$$]\epsilon&gt;{0}[/$$] it follows that <i>|a - b|</i>...&nbsp;	[$]|a - b| &lt; \epsilon[/$]
1405728093295	1405599708170	<i>induction</i>	<img src="paste-14723147890691.jpg" /><br>Mathematical induction is a method of mathematical proof typically used to establish a given statement for all natural numbers. It is a form of direct proof, and it is done in two steps. The first step, known as the base case, is to prove the given statement for the first natural number. The second step, known as the inductive step, is to prove that the given statement for any one natural number implies the given statement for the next natural number. From these two steps, mathematical induction is the rule from which we infer that the given statement is established for all natural numbers.
1405728164672	1405599708170	<i>Axiom of Completeness</i>	<img src="paste-15187004358659.jpg" />
1405728304074	1405599708170	<i>bounded above / upper bound</i>	<img src="paste-15702400434179.jpg" />
1405728940496	1405599708170	<i>bounded below / lower bound</i>	<img src="paste-16106127360003.jpg" />
1405728953351	1405599708170	<i>least upper bound</i>	<img src="paste-16350940495875.jpg" />
1405729019242	1405599708170	<i>greatest lower bound</i>	<img src="paste-16600048599043.jpg" />
1405729042273	1405599708170	<i>maximum</i>	<img src="paste-16862041604099.jpg" />
1405729144978	1405599708170	<i>minimum</i>	<div>Similarly, a number [$$]{a}_{1}[/$$] is a minimum of&nbsp;</div><img src="paste-17218523889667.jpg" />
1405729222645	1405599708170	<i>axiom</i>	An <i>axiom</i>&nbsp;in mathematics is an accepted assumption, to be used without proof.
1405729328456	1405599708170	<img src="paste-17987323035651.jpg" /><br>then s = Sup A, if and only if,	<img src="paste-18000207937539.jpg" />
1405729444861	1405599708170	<i>Nested Interval Property</i>	<img src="paste-18794776887299.jpg" />
1405783808383	1405599708170	<i>Archimedean Property</i>	<img src="paste-21354577395715.jpg" />
1405784003461	1405599708170	<i>Density of Q in R</i>	<img src="paste-22011707392003.jpg" />
1405784055298	1405599708170	<img src="paste-22329534971907.jpg" /><div><img src="paste-22342419873795.jpg" /></div>	<img src="paste-22355304775683.jpg" />
1405784117497	1405599708170	There exists a _____ number&nbsp;[$$]\alpha\in\mathbf{R}[/$$] satisfying&nbsp;[$$]\alpha^2=2[/$$]	There exists a <u>real</u> number&nbsp;[$$]\alpha\in\mathbf{R}[/$$] satisfying&nbsp;[$$]\alpha^2=2[/$$]
1405784301986	1405599708170	[$]\mathbf{I}[/$]	<i>set of irrational numbers</i> <i>&nbsp;</i>any real number that cannot be expressed as a ratio of integers
1405784581650	1405599708170	<i>cardinality</i>	size of a set.&nbsp;
1405784745009	1405599708170	<i>one-to-one</i>	<img src="paste-29381871271939.jpg" /><div><img src="paste-29394756173827.jpg" />.</div>
1405784782733	1405599708170	<i>onto</i>	<img src="paste-29635274342403.jpg" /><div><img src="paste-29648159244291.jpg" /></div>
1405784806128	1405599708170	<i>1-1 Correspondence Between Two Sets</i>	<img src="paste-30000346562563.jpg" />
1405784840138	1405599708170	<i>A ~ B</i>	<img src="paste-30288109371395.jpg" />
1405784924385	1405599708170	<i>countable / uncountable</i>	<img src="paste-30691836297219.jpg" />
1405784965253	1405599708170	<img src="paste-30949534334979.jpg" />&nbsp;_____.&nbsp;<img src="paste-30962419236867.jpg" />&nbsp;_____.	<img src="paste-30975304138755.jpg" />
1405785033985	1405599708170	<img src="paste-31344671326211.jpg" />	<img src="paste-31357556228099.jpg" />
1405785071128	1405599708170	<img src="paste-31641024069635.jpg" />	<img src="paste-31653908971523.jpg" />
1405785090443	1405599708170	<img src="paste-31894427140099.jpg" />	<img src="paste-31907312041987.jpg" />
1405785115214	1405599708170	<img src="paste-34063385624579.jpg" />	<img src="paste-34076270526467.jpg" />
1405785817241	1405599708170	power set	<img src="paste-34467112550403.jpg" />
1405785882309	1405599708170	<img src="paste-34836479737859.jpg" /><div><img src="paste-34849364639747.jpg" />&nbsp;____.</div>	<img src="paste-34862249541635.jpg" />
1405785927998	1405599708170	sequence	<img src="paste-35257386532867.jpg" />
1405786872594	1405599708170	Convergence of a Sequence	<img src="paste-35673998360579.jpg" />
1405786914581	1405599708170	[$$]\epsilon[/$$]-neighborhood of a	<img src="paste-35923106463747.jpg" />
1405786946403	1405599708170	Convergence of a Sequence: Topological Version	<img src="paste-36189394436099.jpg" />
1405787453239	1405599708170	Diverge	<img src="paste-36679020707843.jpg" />
1405787459024	1405599708170	bounded	<img src="paste-36932423778307.jpg" />
1405787482705	1405599708170	<img src="paste-37177236914179.jpg" />	<img src="paste-37190121816067.jpg" />
1405787495903	1405599708170	Algebraic Limit Theorem	<img src="paste-37443524886531.jpg" />
1405787522221	1405599708170	Order Limit Theorem<div><img src="paste-18464064405507.jpg" /></div>	<img src="paste-37701222924291.jpg" />
1405787546587	1405599708170	increasing sequence	<img src="paste-38139309588483.jpg" />
1405787783660	1405599708170	decreasing	<img src="paste-38530151612419.jpg" />
1405787962751	1405599708170	monotone	<img src="paste-39032662786051.jpg" /><img src="paste-39045547687939.jpg" />
1405787984229	1405599708170	Monotone Convergence Theorem	<img src="paste-39303245725699.jpg" />
1405788025324	1405599708170	infinite series	<img src="paste-39548058861571.jpg" />
1405788065056	1405599708170	sequence of partial sums	<img src="paste-39814346833923.jpg" />
1405788127012	1405599708170	<img src="paste-40166534152195.jpg" />	<img src="paste-40179419054083.jpg" />to B.
1405788169155	1405599708170	Harmonic Series	<img src="paste-40488656699395.jpg" />
1405788192451	1405599708170	Cauchy Condensation Test	<img src="paste-40729174867971.jpg" />
1405788216785	1405599708170	<img src="paste-41077067218947.jpg" />	<img src="paste-41089952120835.jpg" />
1405788249531	1405599708170	subsequence	<img src="paste-41330470289411.jpg" />
1405788275002	1405599708170	<img src="paste-41832981463043.jpg" />	<img src="paste-41845866364931.jpg" />
1405788392206	1405599708170	Bolzano-Weierstrass Theorem	<img src="paste-42249593290755.jpg" />
1405788440240	1405599708170	Cauchy Sequence	<img src="paste-42533061132291.jpg" />
1405788468427	1405599708170	<img src="paste-42863773614083.jpg" />	<img src="paste-42876658515971.jpg" />
1405788502060	1405599708170	<img src="paste-43203076030467.jpg" />	<img src="paste-43215960932355.jpg" />
1405788518065	1405599708170	Cauchy Criterion	<img src="paste-43456479100931.jpg" />
1405788534216	1405599708170	Sequence of Terms	<img src="paste-43714177138691.jpg" />
1405788602291	1405599708170	Sequence of Partial Sums	<img src="paste-44096429228035.jpg" />
1405788626330	1405599708170	Algebraic Limit Theorem for Series	<img src="paste-44336947396611.jpg" /><div><img src="paste-44349832298499.jpg" /></div>
1405788657750	1405599708170	Cauchy Criterion for Series	<img src="paste-44697724649475.jpg" />
1405788683897	1405599708170	<img src="paste-44938242818051.jpg" />	<img src="paste-44951127719939.jpg" />
1405788708153	1405599708170	Comparison Test	<img src="paste-45299020070915.jpg" /><div><img src="paste-45311904972803.jpg" /></div>
1405788733836	1405599708170	Absolute Convergence Test	<img src="paste-45642617454595.jpg" />
1405788779366	1405599708170	Alternating Series Test	<img src="paste-45960445034499.jpg" />
1405788797999	1405599708170	Absolute Convergence	<img src="paste-46200963203075.jpg" /><div><img src="paste-46213848104963.jpg" /></div>
1405788848760	1405599708170	Conditional Convergence	<img src="paste-46604690128899.jpg" /><div><img src="paste-46617575030787.jpg" /></div>
1405788870474	1405599708170	rearrangement	<img src="paste-46858093199363.jpg" />
1405788897741	1405599708170	<img src="paste-47231755354115.jpg" />	<img src="paste-47218870452227.jpg" />
1405788921828	1405599708170	Iterated Summation	<img src="paste-47472273522691.jpg" /><div><img src="paste-47536698032131.jpg" /></div>
1405788983058	1405599708170	<img src="paste-47931835023363.jpg" /><div><u>converges</u></div>	<img src="paste-47957604827139.jpg" /><div><img src="paste-47970489729027.jpg" /></div>
1405789032389	1405599708170	Cantor Set	<img src="paste-48236777701379.jpg" /><div><img src="paste-48322677047299.jpg" /></div>
1405789298290	1405599708170	The Cantor Set is countable / uncountable?	uncountable
1405789338319	1405599708170	The cardinality of the Cantor Set is equal to&nbsp;	The cardinality of the Cantor Set is equal to the cardinality of&nbsp;[$$]\mathbf{R}[/$$]
1405789378212	1405599708170	What is the length of the Cantor Set?	The Cantor Set measures the same size as a single point.
1405789445091	1405599708170	open set	<img src="paste-49447958478851.jpg" />
1405789524765	1405599708170	<img src="paste-49606872268803.jpg" />	<img src="paste-49619757170691.jpg" />
1405789537053	1405599708170	<img src="paste-49671296778243.jpg" />	<img src="paste-49684181680131.jpg" />
1405789556459	1405599708170	limit point	<img src="paste-49740016254979.jpg" />
1405789582777	1405599708170	<img src="paste-49795850829827.jpg" />	<img src="paste-49808735731715.jpg" />
1405789611791	1405599708170	isolated point	<img src="paste-49864570306563.jpg" /><div><img src="paste-51780125720577.jpg" /></div><div><img src="paste-52548924866561.jpg" /></div>
1405789774863	1405599708170	closed set	<img src="paste-52931176955907.jpg" />
1405789798447	1405599708170	<img src="paste-53270479372291.jpg" />	<img src="paste-53283364274179.jpg" />
1405789848803	1405599708170	Density of [$]\mathbf{Q}[/$] in [$]\mathbf{R}[/$] (Sequential Version)	<img src="paste-53639846559747.jpg" /><div><i>rational, real, density</i></div>
1405789928321	1405599708170	Closure of a Set	<img src="paste-54069343289347.jpg" />
1405789948491	1405599708170	<img src="paste-54314156425219.jpg" />	<img src="paste-54327041327107.jpg" /><div><i>closure</i></div>
1405789992540	1405599708170	Complement of a Set	<img src="paste-55151675047939.jpg" />
1405795621970	1405599708170	<img src="paste-55632711385091.jpg" />	<img src="paste-55658481188867.jpg" />
1405795690556	1405599708170	<img src="paste-56006373539843.jpg" />	<img src="paste-56019258441731.jpg" />
1405795704609	1405599708170	<img src="paste-56259776610307.jpg" />	<img src="paste-56272661512195.jpg" />
1405795751613	1405599708170	<img src="paste-56663503536131.jpg" />	<img src="paste-56676388438019.jpg" />
1405795773845	1405599708170	Compact Set	<img src="paste-57002805952515.jpg" />
1405795849565	1405599708170	bounded set	<img src="paste-57402237911043.jpg" />
1405795863953	1405599708170	<img src="paste-16423954939907.jpg" />	Heine-Borel Theorem<div><img src="paste-57642756079619.jpg" /></div><div><i>compact, closed, bounded</i></div>
1405795879303	1405599708170	<img src="paste-57887569215491.jpg" /><div><img src="paste-57900454117379.jpg" /></div>	<img src="paste-57913339019267.jpg" />
1405795918569	1405599708170	open cover	<img src="paste-58158152155139.jpg" /><div><img src="paste-58171037057027.jpg" /></div>
1405795955734	1405599708170	finite subcover	<img src="paste-58415850192899.jpg" /><div><img src="paste-58428735094787.jpg" /></div>
1405795978786	1405599708170	<div>Equivalence to Compactness</div><img src="paste-15655155793923.jpg" />	<img src="paste-58793807314947.jpg" />
1405796288141	1405599708170	perfect set	<img src="paste-59274843652099.jpg" />
1405796338272	1405599708170	The Cantor set is _____.	<img src="paste-59523951755267.jpg" />
1405796362123	1405599708170	<img src="paste-59764469923843.jpg" />	<img src="paste-59777354825731.jpg" />
1405796379533	1405599708170	separated sets	<img src="paste-60022167961603.jpg" /><div><img src="paste-60035052863491.jpg" /></div>
1405796412452	1405599708170	disconnected	<img src="paste-60279865999363.jpg" /><div><img src="paste-60292750901251.jpg" /></div>
1405796443043	1405599708170	connected set	<img src="paste-60537564037123.jpg" />
1405796455772	1405599708170	<img src="paste-60778082205699.jpg" />	<img src="paste-60790967107587.jpg" />
1405796492619	1405599708170	<img src="paste-61040075210755.jpg" /><div><img src="paste-61052960112643.jpg" /></div>	<img src="paste-61065845014531.jpg" />
1405796594204	1405599708170	[$]{G}_\delta[/$] set	<img src="paste-61654255534083.jpg" /><div><img src="paste-61667140435971.jpg" /></div><div><i>G, delta</i></div>
1405796621224	1405599708170	<img src="paste-61997852917763.jpg" />sets, then...	<img src="paste-62010737819651.jpg" />
1405796661690	1405599708170	nowhere-dense	<img src="paste-62281320759299.jpg" />
1405796685670	1405599708170	Baire's Theorem	<img src="paste-62534723829763.jpg" />
1405796703224	1405599708170	power series	<img src="paste-62839666507777.jpg" />
1405796772796	1405599708170	trigonometric / Fourier series	In mathematics, a Fourier series (English pronunciation: /ˈfɔərieɪ/) is a way to represent a wave-like function as a combination of simple sine waves. More formally, it decomposes any periodic function or periodic signal into the sum of a (possibly infinite) set of simple oscillating functions, namely sines and cosines (or complex exponentials).
1405796822191	1405599708170	Dirichlet Function	<img src="paste-63677185130499.jpg" /><div><img src="paste-64381559767043.jpg" /></div>
1405796927619	1405599708170	Thomae Function	<img src="paste-65111704207363.jpg" /><div><img src="paste-65124589109251.jpg" /></div>
1405797143079	1405599708170	<img src="paste-65515431133187.jpg" /><div><img src="paste-65528316035075.jpg" /></div>	<img src="paste-65541200936963.jpg" />
1405881493728	1405599708170	functional limit (topological version)	<img src="paste-74066711019523.jpg" />
1405881554313	1405599708170	Sequential Criterion for Functional Limits	<img src="paste-74320114089987.jpg" />
1405881604424	1405599708170	Algebraic Limit Theorem for Functional Limits	<img src="paste-74637941669891.jpg" /><div><img src="paste-74650826571779.jpg" /></div>
1405881652566	1405599708170	Divergence Criterion for Functional Limits	<img src="paste-74998718922755.jpg" />
1405881676145	1405599708170	<img src="paste-75239237091331.jpg" />	<img src="paste-75252121993219.jpg" />
1405881721577	1405599708170	<div>Characterizations of Continuity</div><div><img src="paste-14504104558595.jpg" /></div>	<img src="paste-75642964017155.jpg" />
1405881745792	1405599708170	Criterion for Discontinuity	<img src="paste-75883482185731.jpg" />
1405881768440	1405599708170	Algebraic Continuity Theorem	<img src="paste-76231374536707.jpg" />
1405881793014	1405599708170	Composition of Continuous Functions	<img src="paste-76471892705283.jpg" />
1405881829159	1405599708170	bounded function	<img src="paste-76862734729219.jpg" />
1405881873494	1405599708170	Preservation of Compact Sets	<img src="paste-77210627080195.jpg" />
1405881900467	1405599708170	Extreme Value Theorem	<img src="paste-77451145248771.jpg" />
1405881922123	1405599708170	Uniform Continuity	<img src="paste-77747497992195.jpg" />
1405881957743	1405599708170	Sequential Criterion for Nonuniform Continuity	<img src="paste-78065325572099.jpg" />
1405881988169	1405599708170	<img src="paste-78619376353283.jpg" />	<img src="paste-78305843740675.jpg" />
1405882031428	1405599708170	Intermediate Value Theorem	<img src="paste-79010218377219.jpg" />
1405882075029	1405599708170	Preservation of Connectedness	<img src="paste-79370995630083.jpg" />
1405882102565	1405599708170	Intermediate Value Property	<img src="paste-79611513798659.jpg" />
1405882147820	1405599708170	Monotone Function	<img src="paste-80002355822595.jpg" />
1405882177608	1405599708170	Right-Hand Limit	<img src="paste-80333068304387.jpg" />
1405882201630	1405599708170	<img src="paste-80603651244035.jpg" />	<img src="paste-80616536145923.jpg" />
1405882225790	1405599708170	[$]\alpha \textrm{-continuous at }{x}[/$]	<img src="paste-83103322210307.jpg" />
1405882324455	1405599708170	If&nbsp;<img src="paste-83348135346179.jpg" /><div><img src="paste-83326660509699.jpg" /></div>	<img src="paste-83361020248067.jpg" />
1405947610286	1405599708170	prime number	prime number (or a prime) is a natural number greater than 1 that has no positive divisors other than 1 and itself. For example, 5 is prime because 1 and 5 are its only positive integer factors.
1405947662756	1405599708170	composite number	A natural number greater than 1 that is not a prime number is called a composite number. For example,&nbsp;6 is composite because it has the divisors 2 and 3 in addition to 1 and 6.
1405947698482	1405599708170	Fundamental Theorem of Arithmetic	<div>In number theory, the fundamental theorem of arithmetic, also called the unique factorization theorem or the unique-prime-factorization theorem, states that every integer greater than 1 either is prime itself or is the product of prime numbers, and that, although the order of the primes in the second case is arbitrary, the primes themselves are not. For example,</div><div><br /></div><div>1200 = 24 × 31 × 52 = 3 × 2× 2× 2× 2 × 5 × 5 = 5 × 2× 3× 2× 5 × 2 × 2 = etc.</div><div><br /></div><div>The theorem is stating two things: first, that 1200 can be represented as a product of primes, and second, no matter how this is done, there will always be four 2s, one 3, two 5s, and no other primes in the product.</div><div><br /></div><div>The requirement that the factors be prime is necessary: factorizations containing composite numbers may not be unique (e.g. 12 = 2 × 6 = 3 × 4).</div>
1406283600478	1405599708170	[$]{g}({A}\cup{B})=[/$]	[$]{g}({A}\cup{B})={g}({A})\cup{g}({B})[/$]
1406284503078	1405599708170	[$]{g}({A}\cap{B})[/$]	[$]{g}({A}\cap{B})\subseteq{g}({A})\cap{g}({B})[/$]
1421235430123	1405599708170	Difference Quotient	<img src="paste-22200685953027.jpg" />
1421236083727	1405599708170	<img src="paste-24361054502915.jpg" />	<img src="paste-24404004175875.jpg" /><div><i>derivative, definition</i></div>
1421236136786	1405599708170	<img src="paste-24988119728131.jpg" />	<img src="paste-25091198943235.jpg" /><div><i>derivative</i></div>
1421236753265	1405599708170	<img src="paste-25598005084163.jpg" /><div><img src="paste-25610889986051.jpg" /></div><div><img src="paste-25632364822531.jpg" /></div><div><img src="paste-25645249724419.jpg" /></div><div><img src="paste-25658134626307.jpg" /></div>	<img src="paste-25671019528195.jpg" />
1421236834970	1405599708170	<img src="paste-26143465930755.jpg" /><div><img src="paste-26164940767235.jpg" /></div>	<img src="paste-26353919328259.jpg" />
1421236931658	1405599708170	<img src="paste-26950919782403.jpg" /><div><img src="paste-27053998997507.jpg" /></div>	<img src="paste-27066883899395.jpg" />
1421323265906	1405599708170	[$]{F}_{\sigma}[/$]	A set [$]A[/$] is called an [$]{F}_{\sigma}[/$] set if it can be written as the countable union of closed sets.
1421324054065	1405599708170	<div>Darboux's Theorem</div><img src="paste-66743791779843.jpg" />	<img src="paste-66846870994947.jpg" />
1421324324774	1405599708170	Exercise 5.2.6<div>If [$]g[/$] is differentiable on [$][a,b][/$] and satisfies [$]g'(a)&lt;0&lt;g'(b)[/$], then there exists a point [$]{x}\in{(a,b)}[/$] and a point [$]{y}\in{(a,b)}[/$]&nbsp;where</div>	If [$]g[/$] is differentiable on [$][a,b][/$] and satisfies [$]g'(a)&lt;0&lt;g'(b)[/$], then there exists a point [$]{x}\in{(a,b)}[/$] and a point [$]{y}\in{(a,b)}[/$]&nbsp;where [$]g(a)&gt;g(x)[/$] and&nbsp;[$]g(y)&gt;g(b)[/$].
1421532664372	1405599708170	<img src="paste-93153545682947.jpg" /><div>(a,b) where&nbsp;</div>	<img src="paste-93166430584835.jpg" />
1421532734445	1405599708170	<img src="paste-93638876987395.jpg" />	<img src="paste-93651761889283.jpg" />
1421532764862	1405599708170	<b>Corollary 5.3.3. </b>If [$]g:A{\rightarrow}\mathbb{R}[/$] is differentiable on an interval [$]A[/$] and satisfies [$]g'(x)=0[/$] for all [$]x\in{A}[/$], then	<b>Corollary 5.3.3.&nbsp;</b>If [$]g:A{\rightarrow}\mathbb{R}[/$] is differentiable on an interval [$]A[/$] and satisfies [$]g'(x)=0[/$] for all [$]x\in{A}[/$], then [$]g(x)=k[/$] for some constant [$]k\in{\mathbb{R}}[/$]
1421533010055	1405599708170	<img src="paste-120443767881731.jpg" />	<img src="paste-120456652783619.jpg" />
1421533323639	1405599708170	<img src="paste-120941984088067.jpg" />	<img src="paste-120954868989955.jpg" />
1421533360298	1405599708170	<img src="paste-121311351275523.jpg" />	<img src="paste-121324236177411.jpg" />
1421533418695	1405599708170	<img src="paste-121809567481859.jpg" />	<img src="paste-121822452383747.jpg" />
1421533460000	1405599708170	<img src="paste-122157459832835.jpg" />	<img src="paste-122170344734723.jpg" />
1421533557125	1405599708170	<img src="paste-125228361449475.jpg" />	<img src="paste-125241246351363.jpg" />
1421533600453	1405599708170	<img src="paste-125833951838211.jpg" />	<img src="paste-125846836740099.jpg" />
1434202207972	1434200840257	[$]liminf_{n\to\infty}x_n[/$]	[$]lim_{n\to\infty}(inf_{m\geq n}x_m)[/$]
1434241535300	1434200840257	Borel Sets	
1434239241533	1434200840257	[$]\forall \epsilon &gt; 0 \;\;\; \exists subcube \tilde{Q}\subset Q[/$]	[$]Q=|\tilde{Q}|+\epsilon[/$]
1434241959994	1434200840257	Completely Regular and Hausdorff	Tychonoff
1434241959994	1434200840257	Completely Regular and Hausdorff	Tychonoff
1434203247842	1434200840257	[$]E\Delta F[/$]	
1434238213265	1434200840257	Uniform Convergence	
1434237673296	1434200840257	Lebesgue Differentiation Theorem	[$]lim_{m(B)\to 0,\;\;x\in B}\frac{1}{m(B)}\int_B f(y) dy = f(x)[/$]
1434239334867	1434200840257	Countability	
1434236656022	1434200840257	Coset	
1434236830823	1434200840257	Separated or Disjoint	[$]A\cap B =\emptyset[/$]
1434241941276	1434200840257	Uniformly Continuous	
1434203096109	1434200840257	[$]sin^2(x)[/$]	1-cos(2x)
1434239425119	1434200840257	Dense Subset	
1434239321259	1434200840257	Separation	
1434236820631	1434200840257	Separability	
1434241981533	1434200840257	Tychonoff	Completely regular and Hausdorff
1434237789879	1434200840257	Lipschitz Condition and Continuity	
1434201491874	1434200840257	[$$]\omega[/$$]	[$]\omega[/$]
1438262371600	1434200840257	Atomic Physics	
1438440075046	1434200840257	Numerov Method	
1438439482641	1434200840257	Lande g-factor	
1438439955126	1434200840257	Zeeman Effect	
1438147157205	1434200840257	FASTA	Fancy algorithm that allows you to overlay two sequences to find similarities visually.
1438438552237	1434200840257	BLT	
1438437925476	1434200840257	Dirichlet Principle	
1438438023053	1434200840257	Harmonic Functions	
1438147530916	1434200840257	BLAST	Know what you're looking for, so assume that there will be correct overlap somewhere. Then only search near there.
1438082972185	1434200840257	Cauchy Integral	
1438082992321	1434200840257	Orthoginal Projection	
1440253888840	1434200840257	time orientable	
1439178365258	1434200840257	Parallel Transport	
1438261642755	1434200840257	Symmetric Tensor	
1440025666797	1434200840257	molecules rotating&nbsp;	causes splitting in the far infrared and microwave
1440285130410	1434200840257	Independent particle model	every particle has its own potential, and is independent of the other particles
1440283965215	1434200840257	Slater Determinant	make a matrix with every electron in every state. The determinant of this is the total wave function.<div>(for n electrons)</div>
1439121287982	1434200840257	Strum-Liouville Operators	L(f(x))=-f''(x)+q(x)f(x), q(x) continuouts
1440122166441	1434200840257	Jensen's inequalitys	<div>f convex, p_i positive numbers</div>[$]f\left( \Sigma p_ix_i \right)\leq\Sigma p_i f(x_i)[/$]
1439123553116	1434200840257	dx' =&nbsp;	[$](n\dot e_n)d\sigma[/$]<div>where n is perpendicular to sigma, and |n|=1</div>
1438082463051	1434200840257	holomorphic	
